ID,longi,lati,spd,Time
371,72.8405,33.6869,49.8188,"2018-05-27 14:59:22"
370,72.8408,33.6863,49.8188,"2018-05-27 14:59:19"
369,72.8411,33.6857,49.8188,"2018-05-27 14:59:16"
368,72.8414,33.6853,50.5411,"2018-05-27 14:59:10"
367,72.8418,33.6848,50.5411,"2018-05-27 14:59:05"
366,72.8422,33.6844,59.9863,"2018-05-27 14:59:00"
365,72.8428,33.684,59.9863,"2018-05-27 14:58:56"
364,72.8433,33.6837,62.542,"2018-05-27 14:58:51"
363,72.844,33.6833,62.542,"2018-05-27 14:58:47"
362,72.8447,33.6828,62.542,"2018-05-27 14:58:43"
361,72.8453,33.6824,60.3567,"2018-05-27 14:58:39"
360,72.8459,33.682,60.1159,"2018-05-27 14:58:35"
359,72.8472,33.6808,60.1159,"2018-05-27 14:58:25"
358,72.8477,33.6804,53.0228,"2018-05-27 14:58:20"
357,72.8483,33.6798,53.0228,"2018-05-27 14:58:16"
356,72.8493,33.679,54.1525,"2018-05-27 14:58:06"
355,72.8498,33.6784,54.1525,"2018-05-27 14:58:02"
354,72.8503,33.678,52.0412,"2018-05-27 14:57:58"
353,72.8508,33.6774,52.0412,"2018-05-27 14:57:53"
352,72.8513,33.6771,57.838,"2018-05-27 14:57:48"
351,72.8519,33.6765,57.838,"2018-05-27 14:57:44"
350,72.8524,33.676,53.0783,"2018-05-27 14:57:40"
349,72.8529,33.6756,30.8358,"2018-05-27 14:57:36"
348,72.8538,33.6747,30.8358,"2018-05-27 14:57:26"
347,72.854,33.6745,32.873,"2018-05-27 14:57:22"
346,72.8545,33.674,32.873,"2018-05-27 14:57:12"
345,72.8547,33.6739,38.7994,"2018-05-27 14:57:07"
344,72.8549,33.6737,38.7994,"2018-05-27 14:56:58"
343,72.8551,33.6735,75.0245,"2018-05-27 14:56:53"
342,72.8558,33.6729,75.0245,"2018-05-27 14:56:49"
341,72.8565,33.6724,93.6186,"2018-05-27 14:56:44"
340,72.8576,33.6716,93.6186,"2018-05-27 14:56:40"
339,72.8585,33.671,81.7658,"2018-05-27 14:56:36"
338,72.8596,33.6704,81.7658,"2018-05-27 14:56:31"
337,72.8605,33.6701,67.8017,"2018-05-27 14:56:26"
336,72.8616,33.6698,67.8017,"2018-05-27 14:56:22"
335,72.8623,33.6696,60.4122,"2018-05-27 14:56:17"
334,72.864,33.6693,60.4122,"2018-05-27 14:56:08"
333,72.8648,33.6692,59.5418,"2018-05-27 14:56:03"
332,72.8657,33.669,59.5418,"2018-05-27 14:55:59"
331,72.8663,33.669,51.1337,"2018-05-27 14:55:55"
330,72.8672,33.6688,51.1337,"2018-05-27 14:55:50"
329,72.8678,33.6687,37.3734,"2018-05-27 14:55:45"
328,72.8683,33.6685,37.3734,"2018-05-27 14:55:41"
327,72.8687,33.6684,17.7792,"2018-05-27 14:55:36"
326,72.8692,33.6684,17.7792,"2018-05-27 14:55:32"
325,72.8693,33.6684,7.55616,"2018-05-27 14:55:28"
324,72.8694,33.6684,7.55616,"2018-05-27 14:55:23"
323,72.8696,33.6684,9.87116,"2018-05-27 14:55:19"
322,72.8697,33.6683,12.9825,"2018-05-27 14:55:15"
321,72.8704,33.6682,12.9825,"2018-05-27 14:55:05"
320,72.8705,33.6682,64.5978,"2018-05-27 14:55:01"
319,72.8712,33.6681,64.5978,"2018-05-27 14:54:56"
318,72.8734,33.6678,79.636,"2018-05-27 14:54:46"
317,72.8764,33.6671,55.7637,"2018-05-27 14:54:36"
316,72.8783,33.6665,55.7637,"2018-05-27 14:54:23"
315,72.8789,33.6664,83.5437,"2018-05-27 14:54:18"
314,72.8811,33.6657,83.5437,"2018-05-27 14:54:09"
313,72.8821,33.6655,65.0422,"2018-05-27 14:54:05"
312,72.8834,33.665,65.0422,"2018-05-27 14:54:00"
311,72.8845,33.6646,65.0422,"2018-05-27 14:53:54"
310,72.8853,33.6641,65.0422,"2018-05-27 14:53:49"
309,72.886,33.6637,62.5976,"2018-05-27 14:53:45"
308,72.8868,33.6632,62.5976,"2018-05-27 14:53:40"
307,72.8874,33.6629,52.2079,"2018-05-27 14:53:36"
306,72.8882,33.6626,52.2079,"2018-05-27 14:53:31"
305,72.889,33.6624,52.2079,"2018-05-27 14:53:26"
304,72.8896,33.6623,48.4298,"2018-05-27 14:53:21"
303,72.8903,33.6622,48.4298,"2018-05-27 14:53:17"
302,72.8909,33.6621,54.3377,"2018-05-27 14:53:12"
301,72.8917,33.662,54.3377,"2018-05-27 14:53:08"
300,72.8923,33.6619,63.9496,"2018-05-27 14:53:04"
299,72.8932,33.6618,63.9496,"2018-05-27 14:52:59"
298,72.894,33.6617,67.0054,"2018-05-27 14:52:55"
297,72.8949,33.6613,67.0054,"2018-05-27 14:52:50"
296,72.8956,33.661,64.1903,"2018-05-27 14:52:45"
295,72.8965,33.6606,64.1903,"2018-05-27 14:52:41"
294,72.8972,33.6603,56.6342,"2018-05-27 14:52:37"
293,72.898,33.6599,56.6342,"2018-05-27 14:52:33"
292,72.8986,33.6596,46.0592,"2018-05-27 14:52:28"
291,72.8991,33.6594,46.0592,"2018-05-27 14:52:23"
290,72.9003,33.6589,59.0232,"2018-05-27 14:52:13"
289,72.9017,33.6582,59.0232,"2018-05-27 14:52:04"
288,72.9023,33.6578,57.9676,"2018-05-27 14:52:00"
287,72.9033,33.6568,54.3006,"2018-05-27 14:51:51"
286,72.9045,33.6556,45.3925,"2018-05-27 14:51:40"
285,72.9054,33.6548,57.4305,"2018-05-27 14:51:30"
284,72.9065,33.6538,55.7082,"2018-05-27 14:51:18"
283,72.9077,33.6528,32.2248,"2018-05-27 14:51:08"
282,72.9085,33.6521,54.3932,"2018-05-27 14:50:58"
281,72.9091,33.6515,54.3932,"2018-05-27 14:50:53"
280,72.9096,33.6511,42.2812,"2018-05-27 14:50:48"
279,72.91,33.6508,12.3343,"2018-05-27 14:50:43"
278,72.9103,33.6506,12.3343,"2018-05-27 14:50:39"
277,72.9103,33.6505,14.1308,"2018-05-27 14:50:34"
276,72.9104,33.6504,14.1308,"2018-05-27 14:50:30"
275,72.9106,33.6503,44.8554,"2018-05-27 14:50:25"
274,72.911,33.6499,44.8554,"2018-05-27 14:50:21"
273,72.9113,33.6495,43.8183,"2018-05-27 14:50:17"
272,72.9118,33.6491,43.8183,"2018-05-27 14:50:12"
271,72.9125,33.6486,43.8183,"2018-05-27 14:50:07"
270,72.9138,33.648,43.8183,"2018-05-27 14:49:57"
269,72.9143,33.6478,39.5772,"2018-05-27 14:49:52"
268,72.9148,33.6476,39.5772,"2018-05-27 14:49:48"
267,72.9152,33.6474,35.7251,"2018-05-27 14:49:43"
266,72.9157,33.6472,35.7251,"2018-05-27 14:49:39"
265,72.9161,33.647,45.6333,"2018-05-27 14:49:34"
264,72.9173,33.6463,45.6333,"2018-05-27 14:49:25"
263,72.9176,33.646,50.0966,"2018-05-27 14:49:21"
262,72.9186,33.6451,50.0966,"2018-05-27 14:49:11"
261,72.9191,33.6448,52.1708,"2018-05-27 14:49:06"
260,72.9198,33.6444,52.1708,"2018-05-27 14:49:02"
259,72.9203,33.6441,49.9299,"2018-05-27 14:48:58"
258,72.9207,33.6438,54.4118,"2018-05-27 14:48:54"
257,72.9219,33.6429,54.4118,"2018-05-27 14:48:44"
256,72.923,33.6421,51.5041,"2018-05-27 14:48:34"
255,72.9235,33.6417,51.5041,"2018-05-27 14:48:30"
254,72.924,33.6413,45.1518,"2018-05-27 14:48:25"
253,72.925,33.6405,45.1518,"2018-05-27 14:48:16"
252,72.9254,33.6402,0,"2018-05-27 14:48:11"
251,72.9283,33.6374,45.8,"2018-05-27 14:47:37"
250,72.929,33.6367,47.263,"2018-05-27 14:47:27"
249,72.93,33.6357,50.1336,"2018-05-27 14:47:18"
248,72.931,33.6349,47.5779,"2018-05-27 14:47:09"
247,72.9323,33.6343,41.8737,"2018-05-27 14:46:59"
246,72.9328,33.6341,41.8737,"2018-05-27 14:46:55"
245,72.9334,33.6338,41.8737,"2018-05-27 14:46:50"
244,72.934,33.6335,41.8737,"2018-05-27 14:46:47"
243,72.9346,33.6332,41.8737,"2018-05-27 14:46:43"
242,72.935,33.633,41.8737,"2018-05-27 14:46:38"
241,72.9354,33.6328,41.8737,"2018-05-27 14:46:34"
240,72.9359,33.6326,41.8737,"2018-05-27 14:46:31"
239,72.9363,33.6324,41.8737,"2018-05-27 14:46:27"
238,72.9367,33.6322,41.8737,"2018-05-27 14:46:22"
237,72.9372,33.632,41.8737,"2018-05-27 14:46:19"
236,72.9377,33.6318,41.8737,"2018-05-27 14:46:15"
235,72.9381,33.6316,41.8737,"2018-05-27 14:46:10"
234,72.9387,33.6314,41.8737,"2018-05-27 14:46:07"
233,72.9399,33.6309,0,"2018-05-27 14:45:56"
232,72.9405,33.6306,0,"2018-05-27 14:45:52"
231,72.9411,33.6304,0,"2018-05-27 14:45:48"
230,72.9415,33.6301,0,"2018-05-27 14:45:43"
229,72.942,33.6298,0,"2018-05-27 14:45:40"
228,72.9424,33.6295,0,"2018-05-27 14:45:36"
227,72.9428,33.6293,0,"2018-05-27 14:45:32"
226,72.9432,33.629,0,"2018-05-27 14:45:27"
225,72.9481,33.6256,0,"2018-05-27 14:44:49"
224,72.9487,33.6252,0,"2018-05-27 14:44:46"
223,72.9493,33.6248,0,"2018-05-27 14:44:42"
222,72.9499,33.6244,0,"2018-05-27 14:44:38"
221,72.9507,33.6241,0,"2018-05-27 14:44:34"
220,72.9514,33.6238,0,"2018-05-27 14:44:29"
219,72.9522,33.6237,0,"2018-05-27 14:44:26"
218,72.9529,33.6238,0,"2018-05-27 14:44:21"
217,72.9537,33.6239,0,"2018-05-27 14:44:18"
216,72.9546,33.624,0,"2018-05-27 14:44:15"
215,72.9555,33.6241,0,"2018-05-27 14:44:09"
214,72.9564,33.6243,0,"2018-05-27 14:44:06"
213,72.9574,33.6245,0,"2018-05-27 14:44:02"
212,72.9665,33.6258,60.4863,"2018-05-27 14:43:12"
211,72.9676,33.6259,60.4863,"2018-05-27 14:43:08"
210,72.9694,33.6255,60.4863,"2018-05-27 14:42:58"
